   1,   1,2,      "ул Лесная, д 1, кв 44"
   2,   1,2,        "ул Мира, д 4, кв 41"
   3,   1,2,        "ул Мира, д 4, кв 83"
   4,   1,2,      "ул Лесная, д 3, кв 56"
   5,   1,2,   "ул Набережная, д 1, кв 8"
   6,   2,3,  "ул Молодёжная, д 1, кв 93"
   7,   2,1,        "ул Мира, д 4, кв 92"
   8,   2,3,       "ул Новая, д 2, кв 31"
   9,   3,2,      "ул Лесная, д 3, кв 39"
  10,   3,2,      "ул Лесная, д 4, кв 84"
  11,   3,1,   "ул Школьная, д 1, кв 113"
  12,   4,1, "ул Молодёжная, д 1, кв 109"
  13,   4,2,    "ул Школьная, д 9, кв 31"
  14,   4,1,  "ул Набережная, д 1, кв 57"
  15,   4,1,       "ул Новая, д 2, кв 96"
  16,   5,2,    "ул Советская, д 1, кв 4"
  17,   5,1,     "ул Садовая, д 5, кв 73"
  18,   5,3,       "ул Новая, д 4, кв 31"
  19,   5,3,     "ул Садовая, д 6, кв 24"
  20,   6,3,     "ул Ленина, д 7, кв 118"
  21,   7,3,  "ул Набережная, д 5, кв 81"
  22,   7,1,      "ул Лесная, д 2, кв 27"
  23,   7,1,         "ул Мира, д 1, кв 7"
  24,   7,2,   "ул Советская, д 5, кв 38"
  25,   8,2,  "ул Набережная, д 2, кв 28"
  26,  10,3,"ул Центральная, д 4, кв 109"
  27,  11,1,      "ул Ленина, д 6, кв 64"
  28,  11,1,    "ул Садовая, д 3, кв 117"
  29,  12,1,   "ул Советская, д 4, кв 15"
  30,  12,1,     "ул Садовая, д 6, кв 72"
  31,  12,3,       "ул Новая, д 7, кв 23"
  32,  13,1,        "ул Мира, д 7, кв 66"
  33,  14,1,      "ул Ленина, д 3, кв 73"
  34,  15,2,      "ул Ленина, д 6, кв 10"
  35,  15,1,      "ул Лесная, д 2, кв 19"
  36,  15,2,     "ул Садовая, д 3, кв 15"
  37,  16,3,"ул Центральная, д 4, кв 102"
  38,  16,2,    "ул Школьная, д 3, кв 27"
  39,  16,2,      "ул Новая, д 3, кв 108"
  40,  16,1,      "ул Ленина, д 3, кв 29"
  41,  16,1,     "ул Садовая, д 7, кв 62"
  42,  17,2,       "ул Новая, д 4, кв 19"
  43,  17,3,       "ул Новая, д 4, кв 77"
  44,  17,1,      "ул Лесная, д 4, кв 85"
  45,  18,3,        "ул Мира, д 5, кв 85"
  46,  18,2,    "ул Школьная, д 9, кв 93"
  47,  18,2, "ул Центральная, д 4, кв 78"
  48,  18,2,      "ул Ленина, д 5, кв 66"
  49,  18,3,       "ул Новая, д 2, кв 13"
  50,  21,2,       "ул Новая, д 4, кв 62"
  51,  21,3,       "ул Новая, д 1, кв 41"
  52,  21,3,   "ул Советская, д 2, кв 43"
  53,  21,2,  "ул Набережная, д 4, кв 98"
  54,  21,3,    "ул Школьная, д 7, кв 12"
  55,  22,2,      "ул Ленина, д 2, кв 55"
  56,  22,1,  "ул Набережная, д 1, кв 31"
  57,  22,1,      "ул Ленина, д 3, кв 22"
  58,  22,1,     "ул Ленина, д 2, кв 133"
  59,  23,2,  "ул Молодёжная, д 5, кв 39"
  60,  23,2,  "ул Молодёжная, д 3, кв 84"
  61,  23,2,     "ул Садовая, д 4, кв 56"
  62,  24,3,     "ул Садовая, д 4, кв 17"
  63,  24,3,    "ул Школьная, д 7, кв 19"
  64,  24,3,    "ул Школьная, д 2, кв 51"
  65,  24,3,  "ул Набережная, д 2, кв 44"
  66,  25,1,   "ул Школьная, д 1, кв 101"
  67,  26,3,    "ул Школьная, д 9, кв 72"
  68,  26,1,    "ул Школьная, д 8, кв 96"
  69,  28,3, "ул Центральная, д 3, кв 70"
  70,  28,1,  "ул Молодёжная, д 5, кв 82"
  71,  28,3,     "ул Садовая, д 5, кв 14"
  72,  28,2,        "ул Мира, д 1, кв 20"
  73,  28,1,     "ул Садовая, д 6, кв 26"
  74,  29,1,     "ул Садовая, д 8, кв 16"
  75,  29,1,   "ул Советская, д 4, кв 27"
  76,  29,3,    "ул Школьная, д 3, кв 55"
  77,  29,1,    "ул Садовая, д 4, кв 114"
  78,  33,2,    "ул Школьная, д 9, кв 35"
  79,  34,2,       "ул Новая, д 4, кв 46"
  80,  34,2,     "ул Ленина, д 5, кв 109"
  81,  34,2,    "ул Садовая, д 7, кв 126"
  82,  34,2, "ул Центральная, д 3, кв 61"
  83,  35,2,   "ул Набережная, д 1, кв 9"
  84,  35,2,        "ул Мира, д 2, кв 60"
  85,  36,1,      "ул Лесная, д 2, кв 15"
  86,  36,3, "ул Набережная, д 3, кв 107"
  87,  36,3,     "ул Садовая, д 6, кв 81"
  88,  37,3,      "ул Ленина, д 1, кв 38"
  89,  37,1,       "ул Ленина, д 2, кв 9"
  90,  37,3,  "ул Молодёжная, д 4, кв 17"
  91,  37,3, "ул Центральная, д 4, кв 39"
  92,  37,2,     "ул Садовая, д 7, кв 50"
  93,  38,2,        "ул Мира, д 1, кв 21"
  94,  38,1,      "ул Ленина, д 2, кв 93"
  95,  38,2,      "ул Лесная, д 5, кв 24"
  96,  38,3,    "ул Школьная, д 5, кв 88"
  97,  39,2,  "ул Молодёжная, д 3, кв 83"
  98,  39,2,       "ул Мира, д 4, кв 117"
  99,  40,1,       "ул Новая, д 5, кв 20"
 100,  42,2,"ул Центральная, д 2, кв 115"
 101,  42,1,   "ул Набережная, д 4, кв 2"
 102,  43,1,        "ул Мира, д 6, кв 19"
 103,  43,2,    "ул Школьная, д 6, кв 15"
 104,  43,1,"ул Центральная, д 7, кв 118"
 105,  43,2,     "ул Садовая, д 1, кв 74"
 106,  43,3,        "ул Мира, д 6, кв 71"
 107,  44,3,        "ул Мира, д 5, кв 26"
 108,  44,2,       "ул Лесная, д 3, кв 3"
 109,  45,2,   "ул Советская, д 3, кв 75"
 110,  46,1,      "ул Лесная, д 5, кв 36"
 111,  47,3,     "ул Лесная, д 5, кв 103"
 112,  47,2,  "ул Набережная, д 5, кв 17"
 113,  47,3,  "ул Набережная, д 5, кв 43"
 114,  47,2,     "ул Лесная, д 2, кв 114"
 115,  50,3,  "ул Набережная, д 5, кв 58"
 116,  51,1,        "ул Мира, д 6, кв 12"
 117,  51,1,      "ул Садовая, д 1, кв 1"
 118,  51,2,     "ул Школьная, д 1, кв 9"
 119,  51,2, "ул Центральная, д 3, кв 64"
 120,  52,2,      "ул Лесная, д 5, кв 80"
 121,  52,2,     "ул Садовая, д 8, кв 41"
 122,  53,3,      "ул Ленина, д 5, кв 12"
 123,  53,1,        "ул Мира, д 3, кв 37"
 124,  53,3,   "ул Школьная, д 8, кв 110"
 125,  53,3,   "ул Советская, д 3, кв 44"
 126,  53,2,        "ул Мира, д 4, кв 19"
 127,  54,2,       "ул Ленина, д 2, кв 6"
 128,  54,3,  "ул Молодёжная, д 4, кв 81"
 129,  54,3,      "ул Лесная, д 5, кв 22"
 130,  55,3,   "ул Советская, д 1, кв 68"
 131,  55,1,  "ул Молодёжная, д 4, кв 66"
 132,  55,3,       "ул Мира, д 7, кв 111"
 133,  55,3,"ул Центральная, д 7, кв 143"
 134,  55,3,   "ул Советская, д 1, кв 69"
 135,  56,3,  "ул Молодёжная, д 2, кв 15"
 136,  56,1,      "ул Лесная, д 1, кв 36"
 137,  57,2,     "ул Садовая, д 5, кв 45"
 138,  58,1, "ул Центральная, д 5, кв 62"
 139,  58,3, "ул Центральная, д 5, кв 82"
 140,  58,1,    "ул Школьная, д 5, кв 23"
 141,  58,3,       "ул Лесная, д 4, кв 3"
 142,  58,3,   "ул Набережная, д 2, кв 3"
 143,  59,1,      "ул Ленина, д 1, кв 31"
 144,  59,2,     "ул Лесная, д 3, кв 113"
 145,  60,1,     "ул Садовая, д 1, кв 27"
 146,  60,1,"ул Центральная, д 2, кв 100"
 147,  60,3,       "ул Новая, д 5, кв 38"
 148,  60,2,    "ул Школьная, д 4, кв 83"
 149,  60,2,  "ул Молодёжная, д 5, кв 34"
